,date,user_id,username,name,tweet,mentions,replies_count,retweets_count,likes_count,hashtags,reply_to,Unnamed: 0.1,token,n_frasi,n_parole_uniche,n_lettere ,n_media_parole,word_f,compound,neg,neu,pos,sentimenti
779,2022-05-25,1469091555206123520,karate_kaninen,karatekaninen,slipped really hope true kate moss also excuse many abused woman given,[],4,0,0, deppvsheard deppheardtrial ,[],,"['slipped', 'really', 'hope', 'true', 'kate', 'moss', 'also', 'excuse', 'many', 'abused', 'woman', 'given']",1,12,70,4.916666666666667,,0.5059,0.175,0.424,0.401,NEGATIVO
780,2022-05-25,1469091555206123520,karate_kaninen,karatekaninen,favourite trial judge,[],0,0,0, deppvsheard deppvheardtrial deppheardtrial ,[],,"['favourite', 'trial', 'judge']",1,3,21,6.333333333333333,,0.0,0.0,1.0,0.0,NEGATIVO
781,2022-05-25,1503953058962702336,nectarpeppervt,𓁹ꪀꫀᥴ𝕥ꪖ𝕣𓁹,𝙳𝚒𝚗𝚘𝚜𝚊𝚞𝚛𝚜 𝚃𝚑𝚎𝚛𝚎 𝚊𝚛𝚎 𝚍𝚒𝚗𝚘𝚜𝚊𝚞𝚛𝚜 theemilydbaker 💜⚖️💜 lawyer reacts live tmz motion johnny depp v amber heard trial day via youtube,"[{'screen_name': 'theemilydbaker', 'name': 'emily d. baker ⚖️ 💜', 'id': '22594853'}, {'screen_name': 'youtube', 'name': 'youtube', 'id': '10228272'}]",0,0,1, lawnerds deppheardtrial ,[],,"['𝙳𝚒𝚗𝚘𝚜𝚊𝚞𝚛𝚜', '𝚃𝚑𝚎𝚛𝚎', '𝚊𝚛𝚎', '𝚍𝚒𝚗𝚘𝚜𝚊𝚞𝚛𝚜', 'theemilydbaker', '💜⚖️💜', 'lawyer', 'reacts', 'live', 'tmz', 'motion', 'johnny', 'depp', 'v', 'amber', 'heard', 'trial', 'day', 'via', 'youtube']",1,20,127,5.4,johnny,0.0,0.0,1.0,0.0,NEUTRALE
782,2022-05-25,1469091555206123520,karate_kaninen,karatekaninen,newyorker winterjessica agree thing article trial johnny depp amber heard nothing modern form public revengeporn,[],1,1,0, deppvsheard deppheardtrial deppvheard ,"[{'screen_name': 'NewYorker', 'name': 'The New Yorker', 'id': '14677919'}, {'screen_name': 'winterjessica', 'name': 'Jessica Winter', 'id': '30530300'}]",,"['newyorker', 'winterjessica', 'agree', 'thing', 'article', 'trial', 'johnny', 'depp', 'amber', 'heard', 'nothing', 'modern', 'form', 'public', 'revengeporn']",1,15,112,6.533333333333333,johnny,0.3612,0.0,0.848,0.152,NEUTRALE
783,2022-05-26,978434173819064320,barbaraem77,Bunny Babs,colossal devastating mistake team allowing take stand zero time left attys redirect fire,[],0,0,4, amberheard camillevasquez johnnydeppvsamberheard deppheardtrial johnnydepp ,[],,"['colossal', 'devastating', 'mistake', 'team', 'allowing', 'take', 'stand', 'zero', 'time', 'left', 'attys', 'redirect', 'fire']",1,13,88,5.846153846153846,,-0.8442,0.476,0.524,0.0,NEGATIVO
784,2022-05-26,1469091555206123520,karate_kaninen,karatekaninen,theemilydbaker fact bottle tiny writing fanatic fan depp heard trial tiny writing help teestify 🤦‍♂️🤦‍♂️ thing miss trial crazed people conspiracytheories,[],0,0,0, deppheardtrial deppvheardtrial ,"[{'screen_name': 'TheEmilyDBaker', 'name': 'Emily D. Baker ⚖️ 💜', 'id': '22594853'}]",,"['theemilydbaker', 'fact', 'bottle', 'tiny', 'writing', 'fanatic', 'fan', 'depp', 'heard', 'trial', 'tiny', 'writing', 'help', 'teestify', '🤦\u200d♂️🤦\u200d♂️', 'thing', 'miss', 'trial', 'crazed', 'people', 'conspiracytheories']",1,18,154,6.380952380952381,,0.4404,0.124,0.677,0.199,NEGATIVO
785,2022-05-26,1469091555206123520,karate_kaninen,karatekaninen,johnny depp amber heard trial form modern public revengeporn side fanatic fan cheering,[],0,0,2, deppheardtrial deppvsheard deppvheard ,[],,"['johnny', 'depp', 'amber', 'heard', 'trial', 'form', 'modern', 'public', 'revengeporn', 'side', 'fanatic', 'fan', 'cheering']",1,13,86,5.6923076923076925,johnny,0.6808,0.0,0.663,0.337,NEGATIVO
786,2022-05-19,1512621949209366532,justagirl043,JustAGirl,watch live thanks fighting trial live world,[],0,2,16, johnnydepp johnnydeppamberheardtrial justiceforjohnnydeep istandwithjohnydepp amberheardlsapsychopath amberheardlsaliar amberhearddeservesprison amberheardisanabuser ,[],,"['watch', 'live', 'thanks', 'fighting', 'trial', 'live', 'world']",1,6,43,5.285714285714286,,0.1027,0.24,0.481,0.279,NEGATIVO
787,2022-05-18,1465823853310001157,shellbell123r,Shellbell123 Reid,acting coach solidifies sucked joy retreated within care cuz got aquuaaman basically influence noted,[],0,0,5, amberheard amberheardlsaliar amberheardlsanabuser johhnydeppvsamberheard johnnydeppamberheardtrial ,[],,"['acting', 'coach', 'solidifies', 'sucked', 'joy', 'retreated', 'within', 'care', 'cuz', 'got', 'aquuaaman', 'basically', 'influence', 'noted']",1,14,100,6.214285714285714,,0.6124,0.143,0.524,0.333,POSITIVO
788,2022-05-18,1199762542622576640,tallie_anne,Tallie Anne,seen difficulty cry actor wise trial 🫣,[],0,0,9, johnnydeppamberheardtrial deppvsheard deppheardtrial ,[],,"['seen', 'difficulty', 'cry', 'actor', 'wise', 'trial', '\U0001fae3']",1,7,38,4.571428571428571,,-0.34,0.474,0.259,0.267,POSITIVO
